Snapshot Date,Checkin Date,DayDiff,Hotel Name,WeekDay,Discount Code
1437080400,1437166800,1,1,5,2
1437080400,1437166800,1,2,5,2
1437080400,1437166800,1,3,5,2
1437080400,1437166800,1,4,5,2
1437080400,1437166800,1,5,5,1
1437080400,1437166800,1,6,5,2
1437080400,1437253200,2,7,6,4
1437080400,1437253200,2,8,6,4
1437080400,1437253200,2,9,6,2
1437080400,1437253200,2,1,6,1
1437080400,1437253200,2,4,6,3
1437080400,1437339600,3,10,0,3
1437080400,1437339600,3,11,0,4
1437080400,1437339600,3,7,0,3
1437080400,1437339600,3,8,0,2
1437080400,1437339600,3,1,0,3
1437080400,1437339600,3,3,0,3
1437080400,1437339600,3,12,0,3
1437080400,1437426000,4,11,1,3
1437080400,1437426000,4,13,1,3
1437080400,1437426000,4,8,1,3
1437080400,1437426000,4,1,1,2
1437080400,1437426000,4,3,1,2
1437080400,1437426000,4,4,1,2
1437080400,1437426000,4,6,1,4
1437080400,1437512400,5,14,2,4
1437080400,1437512400,5,11,2,2
1437080400,1437512400,5,15,2,2
1437080400,1437512400,5,16,2,2
1437080400,1437512400,5,13,2,2
1437080400,1437512400,5,17,2,1
1437080400,1437512400,5,18,2,1
1437080400,1437512400,5,1,2,2
1437080400,1437512400,5,19,2,3
1437080400,1437512400,5,3,2,1
1437080400,1437512400,5,4,2,2
1437080400,1437512400,5,20,2,2
1437080400,1437512400,5,21,2,2
1437080400,1437512400,5,22,2,4
1437080400,1437512400,5,23,2,3
1437080400,1437598800,6,14,3,4
1437080400,1437598800,6,11,3,1
1437080400,1437598800,6,24,3,4
1437080400,1437598800,6,25,3,3
1437080400,1437598800,6,18,3,3
1437080400,1437598800,6,26,3,1
1437080400,1437598800,6,27,3,1
1437080400,1437598800,6,28,3,1
1437080400,1437598800,6,29,3,2
1437080400,1437598800,6,19,3,1
1437080400,1437598800,6,30,3,2
1437080400,1437598800,6,3,3,4
1437080400,1437598800,6,4,3,3
1437080400,1437598800,6,31,3,2
1437080400,1437598800,6,12,3,4
1437080400,1437598800,6,20,3,1
1437080400,1437598800,6,32,3,3
1437080400,1437598800,6,33,3,3
1437080400,1437598800,6,34,3,1
1437080400,1437685200,7,35,4,3
1437080400,1437685200,7,14,4,3
1437080400,1437685200,7,24,4,3
1437080400,1437685200,7,36,4,3
1437080400,1437685200,7,37,4,3
1437080400,1437685200,7,1,4,1
1437080400,1437685200,7,38,4,2
1437080400,1437685200,7,3,4,1
1437080400,1437685200,7,4,4,2
1437080400,1437685200,7,31,4,1
1437080400,1437685200,7,33,4,2
1437080400,1437771600,8,35,5,2
1437080400,1437771600,8,39,5,1
1437080400,1437771600,8,40,5,1
1437080400,1437771600,8,24,5,2
1437080400,1437771600,8,36,5,2
1437080400,1437771600,8,41,5,2
1437080400,1437771600,8,42,5,2
1437080400,1437771600,8,43,5,1
1437080400,1437771600,8,44,5,3
1437080400,1437771600,8,38,5,1
1437080400,1437771600,8,28,5,2
1437080400,1437771600,8,45,5,4
1437080400,1437771600,8,4,5,2
1437080400,1437771600,8,32,5,2
1437080400,1437771600,8,23,5,2
1437080400,1437771600,8,46,5,3
1437080400,1437771600,8,33,5,1
1437080400,1437858000,9,35,6,4
1437080400,1437858000,9,40,6,4
1437080400,1437858000,9,14,6,1
1437080400,1437858000,9,47,6,1
1437080400,1437858000,9,48,6,2
1437080400,1437858000,9,49,6,1
1437080400,1437858000,9,37,6,1
1437080400,1437858000,9,41,6,3
1437080400,1437858000,9,50,6,1
1437080400,1437858000,9,9,6,1
1437080400,1437858000,9,51,6,2
1437080400,1437858000,9,52,6,1
1437080400,1437858000,9,4,6,2
1437080400,1437858000,9,32,6,2
1437080400,1437858000,9,46,6,2
1437080400,1437944400,10,35,0,3
1437080400,1437944400,10,53,0,3
1437080400,1437944400,10,40,0,4
1437080400,1437944400,10,48,0,3
1437080400,1437944400,10,54,0,3
1437080400,1437944400,10,49,0,4
1437080400,1437944400,10,41,0,2
1437080400,1437944400,10,50,0,3
1437080400,1437944400,10,55,0,3
1437080400,1437944400,10,3,0,3
1437080400,1437944400,10,52,0,4
1437080400,1437944400,10,4,0,2
1437080400,1437944400,10,56,0,3
1437080400,1437944400,10,33,0,4
1437080400,1438030800,11,35,1,2
1437080400,1438030800,11,53,1,3
1437080400,1438030800,11,39,1,4
1437080400,1438030800,11,57,1,2
1437080400,1438030800,11,48,1,2
1437080400,1438030800,11,1,1,2
1437080400,1438030800,11,55,1,1
1437080400,1438030800,11,29,1,3
1437080400,1438030800,11,58,1,4
1437080400,1438030800,11,3,1,2
1437080400,1438030800,11,4,1,2
1437080400,1438030800,11,33,1,2
1437080400,1438030800,11,34,1,3
1437080400,1438117200,12,53,2,2
1437080400,1438117200,12,39,2,3
1437080400,1438117200,12,59,2,1
1437080400,1438117200,12,48,2,1
1437080400,1438117200,12,36,2,1
1437080400,1438117200,12,60,2,2
1437080400,1438117200,12,61,2,1
1437080400,1438117200,12,1,2,1
1437080400,1438117200,12,62,2,2
1437080400,1438117200,12,63,2,3
1437080400,1438117200,12,29,2,2
1437080400,1438117200,12,19,2,2
1437080400,1438117200,12,3,2,1
1437080400,1438117200,12,4,2,2
1437080400,1438117200,12,12,2,1
1437080400,1438117200,12,23,2,3
1437080400,1438117200,12,46,2,2
1437080400,1438117200,12,33,2,2
1437080400,1438117200,12,34,2,2
1437080400,1438117200,12,64,2,3
1437080400,1438203600,13,65,3,3
1437080400,1438203600,13,53,3,3
1437080400,1438203600,13,66,3,1
1437080400,1438203600,13,57,3,3
1437080400,1438203600,13,67,3,2
1437080400,1438203600,13,14,3,1
1437080400,1438203600,13,11,3,1
1437080400,1438203600,13,59,3,4
1437080400,1438203600,13,36,3,4
1437080400,1438203600,13,41,3,4
1437080400,1438203600,13,68,3,4
1437080400,1438203600,13,61,3,2
1437080400,1438203600,13,13,3,3
1437080400,1438203600,13,63,3,1
1437080400,1438203600,13,29,3,1
1437080400,1438203600,13,58,3,2
1437080400,1438203600,13,69,3,4
1437080400,1438203600,13,3,3,4
1437080400,1438203600,13,31,3,2
1437080400,1438203600,13,70,3,3
1437080400,1438203600,13,71,3,2
1437080400,1438203600,13,33,3,3
1437080400,1438290000,14,53,4,2
1437080400,1438290000,14,67,4,1
1437080400,1438290000,14,15,4,2
1437080400,1438290000,14,36,4,3
1437080400,1438290000,14,41,4,3
1437080400,1438290000,14,72,4,4
1437080400,1438290000,14,19,4,2
1437080400,1438290000,14,58,4,1
1437080400,1438290000,14,69,4,3
1437080400,1438290000,14,52,4,3
1437080400,1438290000,14,4,4,3
1437080400,1438290000,14,73,4,1
1437080400,1438290000,14,31,4,1
1437080400,1438290000,14,71,4,2
1437080400,1438290000,14,74,4,3
1437080400,1438290000,14,75,4,1
1437080400,1438290000,14,33,4,3
1437080400,1438290000,14,64,4,2
1437080400,1438376400,15,35,5,2
1437080400,1438376400,15,53,5,1
1437080400,1438376400,15,76,5,2
1437080400,1438376400,15,15,5,2
1437080400,1438376400,15,48,5,3
1437080400,1438376400,15,36,5,3
1437080400,1438376400,15,8,5,4
1437080400,1438376400,15,38,5,2
1437080400,1438376400,15,52,5,3
1437080400,1438376400,15,4,5,3
1437080400,1438376400,15,77,5,2
1437080400,1438376400,15,33,5,2
1437080400,1438462800,16,35,6,1
1437080400,1438462800,16,14,6,4
1437080400,1438462800,16,76,6,1
1437080400,1438462800,16,15,6,4
1437080400,1438462800,16,48,6,4
1437080400,1438462800,16,36,6,1
1437080400,1438462800,16,49,6,1
1437080400,1438462800,16,41,6,2
1437080400,1438462800,16,60,6,1
1437080400,1438462800,16,78,6,1
1437080400,1438462800,16,72,6,1
1437080400,1438462800,16,52,6,3
1437080400,1438462800,16,4,6,2
1437080400,1438462800,16,33,6,1
1437080400,1438549200,17,35,0,4
1437080400,1438549200,17,11,0,4
1437080400,1438549200,17,76,0,4
1437080400,1438549200,17,15,0,3
1437080400,1438549200,17,48,0,2
1437080400,1438549200,17,54,0,4
1437080400,1438549200,17,7,0,4
